Label,# 样本,平均值,最小值,最大值,标准偏差,异常 %,吞吐量,接收 KB/sec,发送 KB/sec,平均字节数
HTTP请求,2000,540,9,2406,313.30,0.000%,301.52269,9733.11,33.86,33054.6
总体,2000,540,9,2406,313.30,0.000%,301.52269,9733.11,33.86,33054.6
